t_F (tr=1.17378e-12) X,t_F (tr=1.17378e-12) Y,,
3.65616E-16,1.64128863518619E-12,,0.001641288635186
1.89304E-15,1.64128863518619E-12,,0.001641288635186
3.78609E-15,1.94500140731402E-12,,0.001945001407314
7.57217E-15,3.11997591973166E-12,,0.003119975919732
1.51443E-14,4.68522593999948E-12,,0.004685225939999
3.02887E-14,7.99756006736367E-12,,0.007997560067364
6.05774E-14,1.441084447902E-11,,0.01441084447902
t_F (tr=4.72397e-12) X,t_F (tr=4.72397e-12) Y,,#VALUE!
3.65616E-16,1.63464692004455E-12,,0.001634646920045
1.89304E-15,1.63464692004455E-12,,0.001634646920045
3.78609E-15,1.94276268319402E-12,,0.001942762683194
7.57217E-15,3.11776004003707E-12,,0.003117760040037
1.51443E-14,4.68759884379592E-12,,0.004687598843796
3.02887E-14,7.98604596426835E-12,,0.007986045964268
6.05774E-14,1.44544913898641E-11,,0.014454491389864
t_F (tr=1.71859e-11) X,t_F (tr=1.71859e-11) Y,,#VALUE!
3.65616E-16,2.54032055857717E-12,,0.002540320558577
1.89304E-15,2.54032055857717E-12,,0.002540320558577
3.78609E-15,2.76182321328195E-12,,0.002761823213282
7.57217E-15,3.63307260870792E-12,,0.003633072608708
1.51443E-14,4.85334764663936E-12,,0.004853347646639
3.02887E-14,7.8484937148114E-12,,0.007848493714811
6.05774E-14,1.42780631439833E-11,,0.014278063143983
t_F (tr=4.09838e-11) X,t_F (tr=4.09838e-11) Y,,#VALUE!
3.65616E-16,4.2091545113617E-12,,0.004209154511362
1.89304E-15,4.2091545113617E-12,,0.004209154511362
3.78609E-15,4.50678023084133E-12,,0.004506780230841
7.57217E-15,5.41836209920848E-12,,0.005418362099208
1.51443E-14,6.86477664380239E-12,,0.006864776643802
3.02887E-14,9.09799469158266E-12,,0.009097994691583
6.05774E-14,1.43428078129554E-11,,0.014342807812955
t_F (tr=7.80596e-11) X,t_F (tr=7.80596e-11) Y,,#VALUE!
3.65616E-16,6.41316100405569E-12,,0.006413161004056
1.89304E-15,6.41316100405569E-12,,0.006413161004056
3.78609E-15,6.7754344307519E-12,,0.006775434430752
7.57217E-15,8.06005560430074E-12,,0.008060055604301
1.51443E-14,9.44611808421389E-12,,0.009446118084214
3.02887E-14,1.19225836495362E-11,,0.011922583649536
6.05774E-14,1.70467336216968E-11,,0.017046733621697
t_F (tr=1.30081e-10) X,t_F (tr=1.30081e-10) Y,,#VALUE!
3.65616E-16,9.02188455637586E-12,,0.009021884556376
1.89304E-15,9.02188455637586E-12,,0.009021884556376
3.78609E-15,9.48665450197531E-12,,0.009486654501975
7.57217E-15,1.10041409405589E-11,,0.011004140940559
1.51443E-14,1.28131511853975E-11,,0.012813151185398
3.02887E-14,1.54721896033494E-11,,0.015472189603349
6.05774E-14,2.08501471814342E-11,,0.020850147181434
t_F (tr=1.98535e-10) X,t_F (tr=1.98535e-10) Y,,#VALUE!
3.65616E-16,1.21046970837196E-11,,0.01210469708372
1.89304E-15,1.21046970837196E-11,,0.01210469708372
3.78609E-15,1.26139078119453E-11,,0.012613907811945
7.57217E-15,1.44783261835735E-11,,0.014478326183574
1.51443E-14,1.67567604862124E-11,,0.016756760486212
3.02887E-14,1.98318055402109E-11,,0.019831805540211
6.05774E-14,2.57997245731918E-11,,0.025799724573192
