t_R (tf=1.17378e-12) X,t_R (tf=1.17378e-12) Y
3.65616E-16,1.631601106674E-12
1.89304E-15,1.631601106674E-12
3.78609E-15,1.94344300924514E-12
7.57217E-15,3.0748344500864E-12
1.51443E-14,4.5967652072279E-12
3.02887E-14,7.57033098929212E-12
6.05774E-14,1.39728811160959E-11
t_R (tf=4.72397e-12) X,t_R (tf=4.72397e-12) Y
3.65616E-16,1.69322368002242E-12
1.89304E-15,1.69322368002242E-12
3.78609E-15,1.97181658563623E-12
7.57217E-15,3.06727706109548E-12
1.51443E-14,4.57164986116831E-12
3.02887E-14,7.72622409393114E-12
6.05774E-14,1.36029899185363E-11
t_R (tf=1.71859e-11) X,t_R (tf=1.71859e-11) Y
3.65616E-16,2.91294815889577E-12
1.89304E-15,2.91294815889577E-12
3.78609E-15,3.15879038994246E-12
7.57217E-15,3.99582088146473E-12
1.51443E-14,5.02924798867322E-12
3.02887E-14,7.59308134208611E-12
6.05774E-14,1.3749021576287E-11
t_R (tf=4.09838e-11) X,t_R (tf=4.09838e-11) Y
3.65616E-16,4.7423802343965E-12
1.89304E-15,4.7423802343965E-12
3.78609E-15,5.05985647943554E-12
7.57217E-15,6.19586502398775E-12
1.51443E-14,7.41259689024476E-12
3.02887E-14,9.80304915998718E-12
6.05774E-14,1.42746856197455E-11
t_R (tf=7.80596e-11) X,t_R (tf=7.80596e-11) Y
3.65616E-16,7.15929705686573E-12
1.89304E-15,7.15929705686573E-12
3.78609E-15,7.71051053523318E-12
7.57217E-15,9.11455815615592E-12
1.51443E-14,1.06388058652845E-11
3.02887E-14,1.32472610973361E-11
6.05774E-14,1.82243532228496E-11
t_R (tf=1.30081e-10) X,t_R (tf=1.30081e-10) Y
3.65616E-16,1.01492890359255E-11
1.89304E-15,1.01492890359255E-11
3.78609E-15,1.06922894676156E-11
7.57217E-15,1.22168343251665E-11
1.51443E-14,1.42681399248769E-11
3.02887E-14,1.75001341446691E-11
6.05774E-14,2.27063990633324E-11
t_R (tf=1.98535e-10) X,t_R (tf=1.98535e-10) Y
3.65616E-16,1.38478381567138E-11
1.89304E-15,1.38478381567138E-11
3.78609E-15,1.44052525621459E-11
7.57217E-15,1.62676607824747E-11
1.51443E-14,1.88333663123101E-11
3.02887E-14,2.24438819816548E-11
6.05774E-14,2.91122709101085E-11
